,Date,Country,Exchange Name,Holiday
15,05.04.2022, Hong Kong,Hong Kong Stock Exchange,National Day
59,15.04.2022, Australia,Sydney Stock Exchange,Good Friday
77,15.04.2022, Germany,Frankfurt Stock Exchange,Good Friday
79,15.04.2022, Hong Kong,Hong Kong Stock Exchange,Good Friday
115,15.04.2022, United Kingdom,London Stock Exchange,Good Friday
116,15.04.2022, United States,New York Stock Exchange,Good Friday
122,18.04.2022, Australia,Sydney Stock Exchange,Easter
135,18.04.2022, Germany,Frankfurt Stock Exchange,Easter
137,18.04.2022, Hong Kong,Hong Kong Stock Exchange,Easter
165,18.04.2022, United Kingdom,London Stock Exchange,Easter
